;K01;K02;K03;K04;K05;K06;K07;K08;K09;K10;;;;
T0436;71;79;51;79;74;22;89;20;24;18;T0436;527;;
T0437;85;22;30;71;46;52;90;25;79;53;T0437;553;;
T0438;71;25;44;83;72;66;20;52;35;95;T0438;563;;
T0439;53;42;54;49;29;30;51;98;82;31;T0439;519;;
T0440;72;99;48;54;43;23;85;23;31;62;T0440;540;;
T0441;19;38;50;75;95;75;60;96;52;40;T0441;600;;
T0442;41;68;94;57;43;75;77;40;64;19;T0442;578;;
T0443;91;60;66;74;73;88;11;37;83;97;T0443;680;;
T0444;56;38;21;24;36;12;46;17;78;59;T0444;387;;
T0445;29;80;57;11;23;26;100;25;60;19;T0445;430;;
T0446;56;15;64;96;21;24;45;87;69;60;T0446;537;;
T0447;39;98;42;87;69;34;28;80;19;36;T0447;532;;
T0448;45;65;39;55;31;98;88;15;58;58;T0448;552;;
T0449;28;70;77;50;16;94;20;30;97;17;T0449;499;;
T0450;62;71;99;24;52;90;41;69;18;81;T0450;607;;
T0451;83;90;91;38;27;91;80;27;14;12;T0451;553;;
T0452;29;78;75;73;84;29;41;93;38;96;T0452;636;;
T0453;63;94;51;76;100;69;25;93;25;18;T0453;614;;
T0454;90;72;86;40;43;28;37;59;42;81;T0454;578;;
T0455;91;89;65;58;20;24;85;100;72;98;T0455;702;;
T0456;50;77;15;54;84;93;50;45;79;78;T0456;625;;
T0457;30;75;29;14;51;89;46;40;25;78;T0457;477;;
T0458;58;96;49;84;16;56;41;92;30;61;T0458;583;;
T0459;40;41;62;87;20;35;93;99;97;64;T0459;638;;
T0460;56;83;66;40;42;30;13;68;65;81;T0460;544;;
T0461;95;47;74;18;26;95;16;24;70;85;T0461;550;;
T0462;13;90;62;41;74;19;46;39;46;21;T0462;451;;
T0463;69;63;93;58;98;97;69;60;14;37;T0463;658;;
T0464;84;88;70;81;39;70;68;95;26;22;T0464;643;;
T0465;19;92;16;83;40;56;78;95;83;14;T0465;576;;
T0466;92;10;74;77;60;78;25;41;37;55;T0466;549;;
T0467;81;21;16;20;13;81;15;80;35;67;T0467;429;;
T0468;23;56;72;96;67;55;77;33;45;80;T0468;604;;
T0469;41;93;70;87;85;75;13;52;26;76;T0469;618;;
T0470;92;24;71;92;80;91;13;46;66;50;T0470;625;;
T0471;59;87;24;20;72;77;79;34;24;16;T0471;492;;
T0472;64;55;75;45;38;49;53;83;33;82;T0472;577;;
T0473;66;50;72;89;49;98;23;23;92;70;T0473;632;;
T0474;29;61;59;27;100;62;76;96;74;30;T0474;614;;
T0475;55;66;17;25;81;27;99;14;80;28;T0475;492;;
T0476;85;28;90;27;33;56;38;34;88;60;T0476;539;;
T0477;80;37;15;82;92;96;33;88;24;40;T0477;587;;
T0478;37;13;32;32;55;12;62;44;75;83;T0478;445;;
T0479;28;52;12;71;36;87;55;52;90;63;T0479;546;;
T0480;69;32;23;28;61;87;67;83;88;56;T0480;594;;
T0481;65;77;96;21;38;73;32;43;49;17;T0481;511;;
T0482;15;79;54;85;62;63;55;61;78;45;T0482;597;;
T0483;91;27;54;33;13;43;90;52;52;62;T0483;517;;
T0484;16;50;67;21;56;31;44;70;59;73;T0484;487;;
T0485;18;80;12;48;82;19;74;87;100;16;T0485;536;;
T0486;10;100;37;23;85;79;56;16;71;46;T0486;523;;
T0487;44;44;21;11;49;67;99;97;92;41;T0487;565;;
T0488;36;20;80;64;47;39;44;72;52;93;T0488;547;;
T0489;78;70;65;71;23;60;78;74;92;16;T0489;627;;
T0490;84;11;82;62;78;78;36;16;35;21;T0490;503;;
T0491;64;32;23;91;37;40;75;13;19;68;T0491;462;;
T0492;27;23;46;98;10;44;78;61;29;90;T0492;506;;
T0493;76;37;49;39;91;94;19;89;47;46;T0493;587;;
T0494;41;16;30;57;42;43;73;93;61;38;T0494;494;;
T0495;20;18;82;53;44;59;61;10;62;45;T0495;454;;
T0496;33;77;10;38;13;72;76;11;22;94;T0496;446;;
T0497;50;38;72;52;25;50;10;34;60;15;T0497;406;;
T0498;62;92;77;57;58;89;85;34;54;44;T0498;652;;
T0499;15;27;87;66;83;56;62;59;82;95;T0499;632;;
T0500;43;69;10;31;63;72;23;100;46;95;T0500;552;;
T0501;93;23;27;78;57;43;36;82;79;35;T0501;553;;
T0502;81;97;61;40;94;87;86;47;30;33;T0502;656;;
T0503;13;48;19;83;93;44;44;16;63;92;T0503;515;;
T0504;85;90;12;63;90;10;41;68;57;78;T0504;594;;
T0505;12;15;25;51;74;15;35;15;100;84;T0505;426;;
T0506;39;56;86;93;41;23;96;75;74;79;T0506;662;;
T0507;56;43;47;70;67;28;23;57;76;100;T0507;567;;
T0508;40;41;66;12;32;42;10;42;73;84;T0508;442;;
T0509;88;34;63;89;40;81;18;28;62;70;T0509;573;;
T0510;73;81;42;44;51;78;17;33;81;43;T0510;543;;
T0511;64;39;68;22;45;97;25;81;77;40;T0511;558;;
T0512;83;83;51;56;29;92;44;83;44;38;T0512;603;;
T0513;11;29;35;72;99;18;26;19;16;26;T0513;351;;
T0514;47;46;51;16;77;54;60;94;71;12;T0514;528;;
T0515;24;24;68;69;69;47;52;16;57;13;T0515;439;;
T0516;97;12;96;29;62;36;24;70;17;63;T0516;506;;
T0517;63;71;31;51;39;70;41;53;21;82;T0517;522;;
T0518;88;60;26;64;79;89;50;55;89;40;T0518;640;;
T0519;41;30;74;68;16;14;62;74;95;85;T0519;559;;
T0520;93;100;88;53;72;10;12;10;39;74;T0520;551;;
T0521;63;92;54;59;93;11;73;84;39;91;T0521;659;;
T0522;51;88;94;66;10;16;70;33;74;71;T0522;573;;
T0523;48;82;88;40;79;89;85;52;96;52;T0523;711;;
T0524;43;77;83;35;85;73;29;75;90;32;T0524;622;;
T0525;83;69;22;50;70;89;11;37;18;57;T0525;506;;
T0526;31;93;16;98;88;34;70;62;52;92;T0526;636;;
T0527;52;82;88;63;10;44;62;10;71;70;T0527;552;;
T0528;16;82;69;72;53;86;84;66;94;35;T0528;657;;
T0529;33;44;35;94;43;55;12;52;81;26;T0529;475;;
T0530;17;83;67;81;28;12;60;93;26;20;T0530;487;;
T0531;77;57;33;16;79;70;51;15;13;52;T0531;463;;
T0532;16;22;81;100;28;94;71;15;82;51;T0532;560;;
T0533;80;55;74;54;12;84;22;22;34;18;T0533;455;;
T0534;74;76;54;55;12;99;18;37;18;87;T0534;530;;
T0535;85;89;14;63;11;80;27;58;28;47;T0535;502;;
T0536;62;99;29;90;50;71;79;42;71;40;T0536;633;;
T0537;66;41;68;95;53;68;100;25;35;74;T0537;625;;
T0538;55;77;26;89;16;39;79;59;73;80;T0538;593;;
T0539;60;19;76;57;63;13;81;10;48;91;T0539;518;;
T0540;26;45;33;97;96;97;89;39;43;98;T0540;663;;
T0541;53;63;30;86;96;53;97;23;40;74;T0541;615;;
T0542;41;18;12;12;65;33;38;70;65;67;T0542;421;;
T0543;90;73;30;12;21;47;78;18;41;89;T0543;499;;
T0544;73;98;59;71;69;30;99;45;13;19;T0544;576;;
T0545;25;33;13;48;67;34;37;69;21;38;T0545;385;;
T0546;84;82;79;18;16;66;29;69;59;82;T0546;584;;
T0547;83;54;14;66;60;55;67;99;24;74;T0547;596;;
T0548;63;100;58;17;98;16;41;78;69;97;T0548;637;;
T0549;82;61;40;19;21;89;76;39;88;21;T0549;536;;
T0550;81;54;65;51;45;96;30;80;71;46;T0550;619;;
T0551;74;86;69;100;19;72;58;62;69;80;T0551;689;;
T0552;52;46;21;95;89;41;41;100;20;99;T0552;604;;
T0553;96;78;76;21;32;10;14;61;83;59;T0553;530;;
T0554;33;87;13;10;74;28;95;45;71;35;T0554;491;;
T0555;84;20;81;62;26;83;18;27;71;44;T0555;516;;
T0556;13;68;72;17;24;89;58;44;97;21;T0556;503;;
T0557;28;91;91;25;73;10;62;46;28;15;T0557;469;;
T0558;83;48;37;53;62;84;79;24;87;71;T0558;628;;
T0559;68;67;94;75;22;89;86;99;47;39;T0559;686;;
T0560;14;33;65;19;20;72;76;17;93;14;T0560;423;;
T0561;38;18;67;46;59;22;43;11;40;25;T0561;369;;
T0562;12;24;95;31;17;10;34;29;97;57;T0562;406;;
T0563;52;81;80;29;98;70;32;67;27;46;T0563;582;;
T0564;14;30;68;99;33;89;97;28;68;52;T0564;578;;
T0565;78;73;25;21;79;17;62;15;91;57;T0565;518;;
T0566;86;57;43;50;36;13;42;58;64;53;T0566;502;;
T0567;44;62;16;76;95;48;24;97;64;37;T0567;563;;
T0568;19;64;13;26;20;64;24;66;60;18;T0568;374;;
T0569;16;98;27;84;50;77;11;34;11;72;T0569;480;;
T0570;69;60;54;74;95;13;45;24;21;57;T0570;512;;
T0571;85;69;51;91;55;27;100;37;76;87;T0571;678;;
T0572;21;46;93;79;73;77;41;35;56;86;T0572;607;;
T0573;71;59;49;55;70;13;15;27;37;86;T0573;482;;
T0574;60;12;40;61;42;33;95;60;59;99;T0574;561;;
T0575;93;42;24;63;100;11;66;80;68;65;T0575;612;;
T0576;72;31;67;86;39;92;66;38;96;47;T0576;634;;
T0577;95;21;70;22;31;47;94;62;53;95;T0577;590;;
T0578;20;32;18;86;23;75;63;52;13;82;T0578;464;;
T0579;82;61;69;23;77;40;50;55;29;70;T0579;556;;
T0580;45;46;13;66;88;53;13;98;42;23;T0580;487;;
T0581;20;56;59;81;20;89;44;11;32;41;T0581;453;;
T0582;57;29;16;93;56;31;98;83;78;14;T0582;555;;
T0583;38;79;87;11;28;54;69;30;62;24;T0583;482;;
T0584;29;40;53;41;67;83;24;29;38;32;T0584;436;;
T0585;25;56;38;49;16;22;82;26;21;76;T0585;411;;
T0586;67;20;39;34;87;41;65;15;79;22;T0586;469;;
T0587;29;47;72;88;51;65;91;14;15;68;T0587;540;;
T0588;12;42;90;75;77;50;73;59;21;39;T0588;538;;
T0589;21;79;26;48;60;16;36;41;74;27;T0589;428;;
T0590;48;12;82;65;72;55;67;66;80;49;T0590;596;;
T0591;57;49;92;56;72;20;40;82;99;87;T0591;654;;
T0592;92;25;54;61;98;68;93;53;39;15;T0592;598;;
T0593;58;89;65;85;58;39;91;80;78;68;T0593;711;;
T0594;73;12;41;36;82;28;40;78;56;23;T0594;469;;
T0595;45;83;14;63;62;58;88;41;45;33;T0595;532;;
T0596;22;38;67;67;52;43;50;40;50;67;T0596;496;;
T0597;76;54;67;16;87;12;42;42;12;65;T0597;473;;
T0598;92;51;18;61;88;25;40;100;77;26;T0598;578;;
T0599;20;92;72;57;84;31;83;26;38;87;T0599;590;;
T0600;86;16;15;95;27;84;93;100;57;25;T0600;598;;
T0601;13;54;37;66;38;61;68;100;73;31;T0601;541;;
T0602;66;72;20;11;39;47;45;46;11;98;T0602;455;;
T0603;44;56;10;29;90;70;87;16;79;16;T0603;497;;
T0604;95;12;28;42;57;96;72;49;64;32;T0604;547;;
T0605;62;39;43;55;53;30;96;33;82;55;T0605;548;;
T0606;92;53;47;43;12;84;44;90;46;51;T0606;562;;
T0607;49;42;21;37;59;40;67;15;70;70;T0607;470;;
T0608;100;51;79;13;28;47;38;77;95;100;T0608;628;;
T0609;77;35;24;89;15;80;95;38;36;81;T0609;570;;
T0610;26;93;72;38;65;74;84;79;49;28;T0610;608;;
T0611;34;35;25;13;89;21;30;64;13;90;T0611;414;;
T0612;54;98;37;64;22;54;33;51;100;18;T0612;531;;
T0613;12;89;71;13;51;77;75;43;56;22;T0613;509;;
T0614;17;30;84;33;38;26;25;69;45;87;T0614;454;;
T0615;52;35;15;44;11;99;81;23;26;66;T0615;452;;
T0616;43;58;19;56;41;16;93;27;91;54;T0616;498;;
T0617;23;35;22;92;85;91;100;80;86;72;T0617;686;;
T0618;73;82;37;78;56;22;67;64;11;72;T0618;562;;
T0619;80;68;18;48;73;74;75;15;34;52;T0619;537;;
T0620;24;55;95;23;75;31;10;97;66;22;T0620;498;;
T0621;32;27;60;69;10;87;47;62;79;74;T0621;547;;
T0622;82;45;25;20;78;97;51;28;13;89;T0622;528;;
T0623;44;46;83;10;12;78;63;71;49;39;T0623;495;;
T0624;44;63;77;39;68;22;68;89;71;63;T0624;604;;
T0625;82;17;29;56;33;59;48;16;53;85;T0625;478;;
T0626;64;88;47;65;15;35;88;48;44;69;T0626;563;;
T0627;58;42;92;18;77;51;22;37;94;48;T0627;539;;
T0628;78;49;87;87;31;22;69;10;70;85;T0628;588;;
T0629;67;75;39;12;69;48;54;33;46;50;T0629;493;;
T0630;50;49;27;43;16;72;52;49;47;67;T0630;472;;
T0631;29;92;27;70;59;91;49;26;45;36;T0631;524;;
T0632;72;89;69;36;47;36;14;96;62;37;T0632;558;;
T0633;88;35;96;78;62;92;28;51;40;83;T0633;653;;
T0634;64;69;40;22;27;15;78;99;33;58;T0634;505;;
T0635;39;86;34;80;12;43;98;93;55;90;T0635;630;;
T0636;40;42;14;78;17;61;59;32;61;96;T0636;500;;
T0637;15;43;38;48;59;47;89;18;23;34;T0637;414;;
T0638;14;45;54;95;83;17;46;45;82;83;T0638;564;;
T0639;93;35;64;56;46;98;39;98;48;30;T0639;607;;
T0640;62;73;33;83;21;74;97;24;41;90;T0640;598;;
T0641;70;24;90;27;15;56;65;23;29;34;T0641;433;;
T0642;65;78;78;31;60;96;72;37;64;52;T0642;633;;
T0643;83;83;85;66;42;44;17;93;32;90;T0643;635;;
T0644;67;10;95;18;82;95;66;66;25;21;T0644;545;;
T0645;66;87;58;56;38;48;65;97;73;34;T0645;622;;
T0646;15;91;17;94;29;43;88;53;19;39;T0646;488;;
T0647;72;61;28;27;87;51;70;92;27;36;T0647;551;;
T0648;24;73;47;55;38;47;66;47;18;76;T0648;491;;
T0649;56;100;87;57;61;28;27;52;66;36;T0649;570;;
T0650;100;80;20;72;77;78;37;40;20;52;T0650;576;;
T0651;81;94;55;72;21;67;40;64;19;14;T0651;527;;
T0652;17;34;78;33;36;58;15;90;90;28;T0652;479;;
T0653;74;87;56;55;86;69;66;85;99;87;T0653;764;;
T0654;38;58;60;72;10;50;61;69;40;86;T0654;544;;
T0655;14;22;83;75;43;67;10;25;40;12;T0655;391;;
T0656;40;47;54;29;66;32;76;45;41;19;T0656;449;;
T0657;96;85;79;89;73;60;26;70;82;87;T0657;747;;
T0658;21;29;15;17;25;26;55;70;24;55;T0658;337;;
T0659;55;100;83;28;29;19;24;73;20;93;T0659;524;;
T0660;33;13;56;20;22;38;24;68;18;15;T0660;307;;
T0661;69;76;79;19;71;27;54;60;55;63;T0661;573;;
T0662;95;12;58;31;43;36;48;62;15;37;T0662;437;;
T0663;94;33;87;18;41;32;39;21;47;88;T0663;500;;
T0664;29;36;61;30;60;74;94;38;48;91;T0664;561;;
T0665;61;22;68;66;61;51;27;26;98;75;T0665;555;;
T0666;97;45;71;32;57;67;39;60;50;78;T0666;596;;
T0667;93;60;66;37;25;18;79;31;70;98;T0667;577;;
T0668;61;61;99;12;17;38;40;65;61;41;T0668;495;;
T0669;14;68;30;12;94;22;78;70;74;87;T0669;549;;
T0670;38;80;81;72;11;19;35;41;65;97;T0670;539;;
T0671;64;72;87;42;57;87;40;41;20;75;T0671;585;;
T0672;90;52;72;40;56;60;78;61;69;47;T0672;625;;
T0673;90;40;49;37;30;89;89;68;80;31;T0673;603;;
T0674;84;80;96;28;100;48;86;33;58;94;T0674;707;;
T0675;41;16;29;99;14;22;75;38;66;91;T0675;491;;
T0676;49;29;27;41;38;84;91;91;37;34;T0676;521;;
T0677;54;55;86;67;38;26;84;16;82;44;T0677;552;;
T0678;72;14;37;43;57;81;55;98;28;79;T0678;564;;
T0679;92;29;68;57;100;43;91;71;69;10;T0679;630;;
T0680;53;98;87;73;86;42;85;57;47;32;T0680;660;;
T0681;74;58;97;43;91;27;47;96;82;37;T0681;652;;
T0682;71;17;26;38;78;76;73;20;52;94;T0682;545;;
T0683;86;19;86;71;50;70;40;52;36;27;T0683;537;;
T0684;97;85;84;49;91;87;53;47;51;100;T0684;744;;
T0685;88;66;99;28;85;82;98;32;67;53;T0685;698;;
T0686;19;95;77;41;75;47;32;54;38;100;T0686;578;;
T0687;64;21;49;71;17;21;38;77;74;94;T0687;526;;
T0688;57;97;39;95;93;92;75;70;86;21;T0688;725;;
T0689;14;75;69;25;100;74;73;14;30;63;T0689;537;;
T0690;39;44;17;32;51;42;76;15;38;89;T0690;443;;
T0691;77;62;71;40;32;72;96;46;30;46;T0691;572;;
T0692;55;43;19;16;59;80;93;65;59;75;T0692;564;;
T0693;29;85;25;44;93;58;36;46;35;70;T0693;521;;
T0694;71;84;71;24;71;41;20;18;53;35;T0694;488;;
T0695;81;95;85;88;87;65;74;23;89;50;T0695;737;;
T0696;11;33;17;62;83;65;46;86;91;59;T0696;553;;
T0697;78;14;35;45;87;87;90;97;71;78;T0697;682;;
T0698;49;11;47;58;11;79;60;29;57;45;T0698;446;;
T0699;82;44;38;85;31;23;24;90;37;78;T0699;532;;
T0700;20;53;49;48;97;58;10;14;42;72;T0700;463;;
T0701;30;66;50;91;72;84;75;47;77;14;T0701;606;;
T0702;76;20;44;98;47;54;43;52;69;16;T0702;519;;
T0703;54;44;77;77;45;96;57;20;26;33;T0703;529;;
T0704;12;19;57;80;23;72;54;59;34;76;T0704;486;;
T0705;49;85;30;92;10;56;57;83;85;55;T0705;602;;
T0706;81;54;86;92;70;62;93;47;67;99;T0706;751;;
T0707;20;57;94;84;64;74;91;51;30;26;T0707;591;;
T0708;57;16;51;78;32;25;11;49;86;60;T0708;465;;
T0709;36;52;97;27;85;70;10;13;40;67;T0709;497;;
T0710;22;77;32;20;58;51;50;26;15;76;T0710;427;;
T0711;97;92;60;86;82;43;42;48;52;72;T0711;674;;
T0712;83;19;81;32;36;54;95;40;69;18;T0712;527;;
T0713;22;96;76;10;29;53;34;87;71;58;T0713;536;;
T0714;99;68;25;96;68;100;16;62;40;21;T0714;595;;
T0715;34;39;21;43;21;89;89;18;47;31;T0715;432;;
T0716;22;60;69;19;92;51;58;74;47;17;T0716;509;;
T0717;100;47;84;42;97;79;65;55;60;59;T0717;688;;
T0718;94;64;11;56;11;32;45;94;73;33;T0718;513;;
T0719;33;47;34;74;100;37;17;61;36;66;T0719;505;;
T0720;43;21;21;36;41;75;98;99;25;42;T0720;501;;
T0721;69;82;35;59;44;44;39;82;12;83;T0721;549;;
T0722;38;98;46;22;26;55;36;13;86;43;T0722;463;;
T0723;77;94;73;61;97;59;39;12;97;77;T0723;686;;
T0724;98;82;98;53;34;77;42;16;97;43;T0724;640;;
T0725;69;27;15;95;15;74;77;41;72;83;T0725;568;;
T0726;16;67;88;18;41;12;90;82;97;55;T0726;566;;
T0727;68;87;28;45;50;56;22;40;36;23;T0727;455;;
T0728;36;16;26;24;23;67;65;14;35;35;T0728;341;;
T0729;74;31;50;23;72;63;95;52;14;42;T0729;516;;
T0730;97;30;28;57;80;26;61;15;88;18;T0730;500;;
T0731;70;34;55;57;50;22;25;70;16;98;T0731;497;;
T0732;12;62;67;40;59;79;91;91;78;46;T0732;625;;
T0733;99;33;28;51;70;32;65;96;92;99;T0733;665;;
T0734;98;49;52;62;66;93;56;38;37;39;T0734;590;;
T0735;34;48;44;29;37;51;20;83;57;90;T0735;493;;
T0736;58;17;75;54;43;40;11;100;65;40;T0736;503;;
T0737;34;87;26;33;95;56;47;71;59;23;T0737;531;;
T0738;12;74;86;44;22;24;92;95;50;59;T0738;558;;
T0739;40;33;86;18;73;65;73;53;67;64;T0739;572;;
T0740;25;42;65;34;81;49;41;69;31;85;T0740;522;;
T0741;70;77;46;64;26;86;96;21;19;77;T0741;582;;
T0742;92;80;36;49;53;32;63;39;96;21;T0742;561;;
T0743;50;80;15;62;71;98;50;21;18;60;T0743;525;;
T0744;34;86;29;93;97;53;95;75;70;75;T0744;707;;
T0745;43;75;21;65;16;30;85;45;15;48;T0745;443;;
T0746;15;61;29;64;93;42;75;26;14;74;T0746;493;;
T0747;67;98;20;54;46;46;21;51;22;47;T0747;472;;
T0748;13;78;99;68;64;29;58;53;48;72;T0748;582;;
T0749;33;74;71;32;54;24;42;28;67;35;T0749;460;;
T0750;23;45;20;36;59;23;56;45;94;65;T0750;466;;
T0751;100;51;75;92;75;55;19;26;97;80;T0751;670;;
T0752;81;11;95;36;23;56;34;11;56;22;T0752;425;;
T0753;37;81;94;79;22;70;49;34;46;42;T0753;554;;
T0754;71;97;18;91;42;13;45;100;64;32;T0754;573;;
T0755;84;52;42;98;72;89;20;48;17;53;T0755;575;;
T0756;91;12;57;78;61;37;96;31;49;77;T0756;589;;
T0757;44;28;53;87;18;69;68;97;85;19;T0757;568;;
T0758;31;63;92;30;84;35;13;55;39;55;T0758;497;;
T0759;99;73;53;18;82;72;41;10;81;94;T0759;623;;
T0760;13;86;73;74;100;22;75;12;59;57;T0760;571;;
T0761;64;20;32;24;88;22;28;50;23;80;T0761;431;;
T0762;24;24;45;26;25;18;33;54;65;23;T0762;337;;
T0763;66;65;64;35;69;93;39;38;42;52;T0763;563;;
T0764;60;30;40;80;53;17;18;96;32;39;T0764;465;;
T0765;69;49;75;75;73;40;96;23;20;29;T0765;549;;
T0766;64;36;46;36;43;78;37;38;10;38;T0766;426;;
T0767;94;62;85;30;73;11;62;99;38;47;T0767;601;;
T0768;31;91;48;36;64;48;23;45;73;50;T0768;509;;
T0769;75;76;89;41;55;16;40;16;26;99;T0769;533;;
T0770;24;29;77;72;10;24;38;11;96;29;T0770;410;;
T0771;88;97;50;71;47;89;24;78;48;73;T0771;665;;
T0772;74;34;49;93;91;24;32;42;48;74;T0772;561;;
T0773;32;92;40;71;41;73;72;55;35;26;T0773;537;;
T0774;87;50;18;20;15;68;86;65;19;70;T0774;498;;
T0775;44;36;76;23;55;94;52;33;96;41;T0775;550;;
T0776;83;22;28;20;85;62;63;71;10;55;T0776;499;;
T0777;46;17;87;25;32;50;95;40;58;32;T0777;482;;
T0778;86;66;54;44;58;62;58;69;40;24;T0778;561;;
T0779;57;95;18;96;37;79;14;57;54;93;T0779;600;;
T0780;47;33;19;78;22;38;16;47;52;42;T0780;394;;
T0781;94;38;29;57;86;98;15;42;33;50;T0781;542;;
T0782;48;16;36;83;33;92;45;38;81;86;T0782;558;;
T0783;85;35;100;53;35;44;82;93;45;23;T0783;595;;
T0784;20;18;46;53;25;70;20;26;78;87;T0784;443;;
T0785;80;64;26;44;63;76;21;78;42;21;T0785;515;;
T0786;64;73;11;55;32;67;75;65;86;88;T0786;616;;
T0787;54;48;18;18;34;38;34;89;65;27;T0787;425;;
T0788;34;31;24;99;77;52;28;23;14;85;T0788;467;;
T0789;77;38;43;87;46;54;37;57;98;56;T0789;593;;
T0790;40;36;69;12;20;80;20;64;84;99;T0790;524;;
T0791;19;43;32;28;55;72;43;27;100;84;T0791;503;;
T0792;23;26;36;70;53;64;67;56;21;85;T0792;501;;
T0793;27;67;43;67;56;86;89;11;71;73;T0793;590;;
T0794;19;39;46;54;77;72;36;98;43;95;T0794;579;;
T0795;67;13;32;75;19;60;71;30;30;90;T0795;487;;
T0796;90;28;100;65;77;36;60;76;82;94;T0796;708;;
T0797;97;38;72;69;41;31;38;62;54;75;T0797;577;;
T0798;13;85;59;13;40;86;36;61;30;84;T0798;507;;
T0799;91;86;64;76;56;79;95;72;80;59;T0799;758;;
T0800;76;46;50;95;33;99;87;10;70;19;T0800;585;;
T0801;54;24;48;27;74;21;99;42;53;97;T0801;539;;
T0802;70;71;30;15;82;77;83;74;71;15;T0802;588;;
T0803;67;100;93;70;92;58;67;33;59;30;T0803;669;;
T0804;23;65;97;75;32;89;22;27;34;97;T0804;561;;
T0805;56;18;27;62;33;97;48;56;21;85;T0805;503;;
T0806;91;47;35;21;16;63;66;58;25;22;T0806;444;;
T0807;32;52;70;74;30;53;19;14;43;87;T0807;474;;
T0808;12;25;34;30;77;63;35;19;45;67;T0808;407;;
T0809;31;75;57;69;10;23;73;63;53;98;T0809;552;;
T0810;49;75;59;11;62;95;39;78;21;64;T0810;553;;
T0811;64;32;98;23;77;55;13;15;54;49;T0811;480;;
T0812;91;10;61;53;14;94;14;47;38;22;T0812;444;;
T0813;24;25;87;99;36;26;43;100;20;84;T0813;544;;
T0814;79;74;52;86;54;85;24;77;70;70;T0814;671;;
T0815;41;17;95;24;12;42;50;33;97;27;T0815;438;;
T0816;55;66;83;43;67;10;35;27;85;41;T0816;512;;
T0817;61;20;41;45;85;27;83;14;99;49;T0817;524;;
T0818;26;77;21;27;54;13;86;31;78;74;T0818;487;;
T0819;32;92;91;83;89;72;32;59;32;30;T0819;612;;
T0820;10;82;18;67;37;27;21;92;99;58;T0820;511;;
T0821;36;48;85;91;68;76;94;80;73;66;T0821;717;;
T0822;67;97;35;38;12;86;36;81;93;71;T0822;616;;
T0823;21;30;99;38;53;47;75;27;53;21;T0823;464;;
T0824;11;83;39;70;93;64;34;36;72;14;T0824;516;;
T0825;91;51;87;81;16;18;13;47;91;72;T0825;567;;
T0826;69;54;53;82;96;85;58;39;22;99;T0826;657;;
T0827;40;49;80;14;11;48;26;29;70;33;T0827;400;;
T0828;80;31;62;43;66;77;42;20;36;12;T0828;469;;
T0829;11;75;90;75;57;71;96;47;69;38;T0829;629;;
T0830;71;22;18;25;14;96;93;53;45;73;T0830;510;;
T0831;69;45;37;55;12;19;49;97;92;34;T0831;509;;
T0832;11;95;33;65;67;30;35;14;50;25;T0832;425;;
T0833;66;95;85;74;13;50;93;82;56;100;T0833;714;;
T0834;82;36;64;21;96;54;64;17;83;93;T0834;610;;
T0835;42;88;74;95;63;74;17;11;32;42;T0835;538;;
T0836;64;85;42;35;22;45;94;94;61;28;T0836;570;;
T0837;44;30;87;59;46;16;73;68;23;58;T0837;504;;
T0838;73;23;50;55;40;13;76;50;47;45;T0838;472;;
T0839;56;29;94;16;99;14;40;10;13;56;T0839;427;;
T0840;92;15;40;66;24;100;80;25;51;65;T0840;558;;
T0841;76;63;67;85;71;93;62;55;55;87;T0841;714;;
T0842;65;35;95;98;14;88;11;63;93;46;T0842;608;;
T0843;41;42;100;71;50;91;27;87;18;16;T0843;543;;
T0844;80;75;84;75;18;85;52;97;90;33;T0844;689;;
T0845;77;74;58;50;55;72;11;98;87;26;T0845;608;;
T0846;16;79;67;15;31;46;72;58;78;55;T0846;517;;
T0847;71;75;69;96;87;51;14;25;38;54;T0847;580;;
T0848;68;20;40;34;69;10;13;72;69;79;T0848;474;;
T0849;25;18;60;43;94;96;11;68;52;97;T0849;564;;
T0850;63;43;83;53;63;92;81;24;50;12;T0850;564;;
T0851;68;44;53;36;56;62;95;30;23;68;T0851;535;;
T0852;81;45;84;12;39;98;39;42;66;95;T0852;601;;
T0853;62;68;19;74;62;69;77;27;85;59;T0853;602;;
T0854;70;83;55;60;18;54;17;12;19;33;T0854;421;;
T0855;94;91;60;31;24;32;23;35;31;77;T0855;498;;
T0856;56;80;67;53;58;56;37;87;98;80;T0856;672;;
T0857;42;89;44;78;94;26;20;33;80;75;T0857;581;;
T0858;71;25;29;14;36;11;76;23;92;11;T0858;388;;
T0859;38;63;51;72;92;31;47;85;39;35;T0859;553;;
T0860;30;77;67;48;44;32;55;78;10;91;T0860;532;;
T0861;18;50;69;70;49;88;80;87;74;63;T0861;648;;
T0862;51;87;41;50;18;22;98;83;11;66;T0862;527;;
T0863;17;90;57;71;37;86;61;66;40;87;T0863;612;;
T0864;82;18;21;85;28;94;38;12;97;13;T0864;488;;
T0865;60;19;50;93;73;88;20;94;77;58;T0865;632;;
T0866;53;94;27;90;63;91;92;44;73;25;T0866;652;;
T0867;15;40;70;56;80;70;80;75;24;82;T0867;592;;
T0868;81;36;38;92;11;92;23;38;13;93;T0868;517;;
T0869;20;85;98;73;73;88;55;75;50;22;T0869;639;;
T0870;95;24;70;99;63;14;90;77;64;32;T0870;628;;
T0871;23;98;96;27;61;21;20;57;84;81;T0871;568;;
